update_date,non_comm_long,non_comm_short,non_comm_arb,comm_long,comm_short,open interest
1996/5/14,15713,4426,541,16594,34043,52887
1996/5/21,7032,3999,613,17135,23946,41098
1996/5/28,5695,6114,232,18124,20136,40252
1996/6/4,5352,6153,429,19381,19635,40470
1996/6/11,3794,9488,634,26878,24563,50011
1996/6/18,4713,10267,882,27453,28690,55021
1996/6/25,10383,11188,999,25316,34462,60844
1996/7/2,9022,10162,1306,24624,33057,57051
1996/7/9,8355,9983,1525,23721,31915,56145
1996/7/16,8715,10871,1545,23386,32315,57449
1996/7/23,8091,9682,1401,23606,33414,56450
1996/7/30,6631,8382,1053,23439,34533,54943
1996/8/6,6600,9812,1083,24342,34465,56510
1996/8/13,6622,9747,1071,24632,35657,57230
1996/8/20,6662,8566,802,24167,35510,56665
1996/8/27,7320,7751,698,23533,35963,55362
1996/9/3,7779,7977,663,22571,36128,54914
1996/9/10,8704,6508,672,22568,36659,54617
1996/9/17,8267,8310,888,24498,33251,56052
1996/9/24,8397,7628,1033,24852,33991,55675
1996/10/1,8687,6237,1133,25610,37308,56808
1996/10/8,9271,6260,863,24787,38861,58025
1996/10/15,8926,5488,690,25772,40006,57789
1996/10/22,8346,4212,578,24268,39048,56315
1996/10/29,11372,5315,643,23175,40573,60130
1996/11/5,10453,5421,1228,22262,39014,57833
1996/11/12,12747,4711,1049,22832,41687,61168
1996/11/19,14019,4103,1194,21721,43066,62874
1996/11/26,14593,2315,1391,21856,44933,61899
1996/12/3,14422,2456,1170,22992,44577,60695
1996/12/10,14088,2260,778,23572,45491,61362
1996/12/17,10912,2341,128,22459,39539,53962
1996/12/24,10082,2450,290,18854,35863,50552
1996/12/31,10405,2264,386,17565,35635,49176
1997/1/7,13963,3456,505,17983,39274,54793
1997/1/14,14615,3602,490,16999,40148,56149
1997/1/21,15068,3329,813,15471,37983,55103
1997/1/28,15304,3385,697,15366,37376,55345
1997/2/4,13151,3440,638,15175,33668,51136
1997/2/11,13239,3852,689,16986,36494,53602
1997/2/18,12904,3038,736,17653,38026,55076
1997/2/25,14774,2583,823,19926,41777,58755
1997/3/4,16933,3009,395,21335,44605,61430
1997/3/11,15049,2223,319,19848,42798,58234
1997/3/18,14310,1971,310,20324,40622,57754
1997/3/25,15188,1999,337,19018,41072,57584
1997/4/1,13872,2790,339,17834,38406,54044
1997/4/8,10701,3000,254,17701,31367,50335
1997/4/15,10217,3149,199,17652,30416,50706
1997/4/22,9547,2582,184,15989,32249,49516
1997/4/29,13681,1620,1229,13855,36133,50634
1997/5/6,13289,2301,968,13094,35832,51295
1997/5/13,16152,3065,1417,12122,38556,55781
1997/5/20,21641,3986,1137,11076,41946,61295
1997/5/27,21942,3638,1168,8859,40139,59649
1997/6/3,22752,3418,1134,8629,40074,59550
1997/6/10,22094,2628,1031,8521,41179,59500
1997/6/17,21075,2420,1321,7555,40164,58688
1997/6/24,17444,1855,1221,10702,34940,53676
1997/7/1,14788,2771,895,13214,32521,49445
1997/7/8,15714,3520,1074,12510,29353,49564
1997/7/15,13049,7978,1276,14295,23504,50009
1997/7/22,13582,7238,561,13370,24519,47962
1997/7/29,13323,5199,367,9020,25232,43606
1997/8/5,13988,4839,264,9620,24473,43238
1997/8/12,14271,5294,261,9291,24420,43479
1997/8/19,12908,9400,258,12290,19901,45321
1997/8/26,11218,10324,229,14288,20100,46942
1997/9/2,10910,11319,497,14123,18159,44868
1997/9/9,10645,11423,643,14942,17802,45562
1997/9/16,12007,13558,543,20183,21465,53135
1997/9/23,12871,11496,677,16993,23785,52294
1997/9/30,11484,8760,886,15461,24203,49663
1997/10/7,12359,11172,1053,16846,23374,51545
1997/10/14,12049,9880,1093,15829,26049,51378
1997/10/21,11829,9051,1114,18482,29071,54619
1997/10/28,12873,11433,1356,25669,33504,62841
1997/11/4,13264,12781,1358,26659,32781,63910
1997/11/11,12038,12950,1654,27417,32899,64985
1997/11/18,13117,16194,1727,30293,33362,69996
1997/11/25,12394,16208,1954,30673,32825,69411
1997/12/2,11841,16427,1942,27748,28470,63871
1997/12/9,11530,16417,1726,28453,27374,64577
1997/12/16,12018,17110,1204,31040,29588,67704
1997/12/23,12293,16539,1371,32829,33412,70864
1997/12/30,12260,16944,1452,32451,33493,70757
1998/1/6,11930,16843,1524,31507,31724,68839
1998/1/13,11930,16133,1594,33123,33365,71294
1998/1/20,11370,14021,1557,30748,34402,69130
1998/1/27,10451,10821,1263,28576,39283,68904
1998/2/3,12902,11420,1185,30006,38431,70876
1998/2/10,11878,16047,1130,30554,34448,72169
1998/2/17,12054,17085,1159,31495,34244,73642
1998/2/24,10370,19314,1551,33062,32958,73990
1998/3/3,10793,13618,1094,26332,31706,65453
1998/3/10,10769,11250,1296,24117,34807,64460
1998/3/17,13440,9006,1041,24926,41933,68783
1998/3/24,12321,8252,1009,26537,42856,69686
1998/3/31,12496,9307,1401,25131,41245,67913
1998/4/7,8849,10962,1419,27803,36031,66048
1998/4/14,10179,8361,1473,26443,39402,66970
1998/4/21,13505,7364,585,23573,43629,69312
1998/4/28,17138,5473,740,24286,50331,73091
1998/5/5,15807,4607,863,20864,45972,67397
1998/5/12,10380,6463,578,22584,37923,61871
1998/5/19,10448,11712,932,26231,33464,66046
1998/5/26,9578,13127,1196,28879,33677,67341
1998/6/2,9902,14764,877,30648,32475,68150
1998/6/9,9642,13751,956,29606,31446,66695
1998/6/16,8478,15281,1431,30702,29568,67263
1998/6/23,6355,13030,606,30985,30822,64344
1998/6/30,6196,14452,1703,31459,29218,63577
1998/7/7,7136,19139,1398,35301,29311,69236
1998/7/14,6754,14977,897,30641,29716,64407
1998/7/21,5962,7552,1452,25837,32897,59100
1998/7/28,10270,6492,966,23308,37670,60981
1998/8/4,8285,6751,970,24270,33996,56559
1998/8/11,8040,10058,1171,27360,31352,59946
1998/8/18,8332,11801,1471,28150,30551,63564
1998/8/25,8713,13023,1269,28512,29163,63346
1998/9/1,9774,14529,1067,29729,29971,63652
1998/9/8,8930,10223,1043,27294,32433,60667
1998/9/15,10092,8662,1026,25789,36124,60934
1998/9/22,8284,9272,951,27726,33371,60485
1998/9/29,8228,7857,652,26041,34342,57427
1998/10/6,10123,14123,903,27785,29163,61933
1998/10/13,10891,16303,840,26898,27964,62350
1998/10/20,11255,11719,1283,24340,30995,60666
1998/10/27,12146,16975,974,26506,29155,65667
1998/11/3,12327,18087,1048,29667,30287,69099
1998/11/10,10801,15380,1519,26518,29907,64107
1998/11/17,11349,21665,1860,30247,26939,70507
1998/11/24,11343,20980,1001,33701,30139,71034
1998/12/1,12362,23468,841,34868,27662,69175
1998/12/8,13622,29405,1313,39394,25076,75970
1998/12/15,13024,31643,1104,42281,25953,79708
1998/12/22,13018,30231,1400,40267,25611,78468
1998/12/29,11854,26476,1785,36584,26787,74905
1999/1/5,13350,28944,1484,40333,28712,79276
1999/1/12,12111,26337,1163,37356,28722,75416
1999/1/19,11956,25547,1530,37654,29733,75867
1999/1/26,12192,26755,1621,37175,29048,77101
1999/2/2,11868,26755,2716,36928,26178,75541
1999/2/9,10401,14746,925,28416,29273,65546
1999/2/16,12157,19341,1854,31464,29447,70946
1999/2/23,12210,27744,2411,37171,28876,80183
1999/3/2,12110,28750,2202,38858,27405,77708
1999/3/9,11584,27066,1935,36713,27174,74967
1999/3/16,12766,27135,2181,36250,28418,76416
1999/3/23,12533,21203,2160,33395,34246,75171
1999/3/30,13855,19551,1639,32116,34994,72540
1999/4/6,13091,20016,1551,29512,31420,69139
1999/4/13,12712,16221,1723,26961,32810,65487
1999/4/20,18493,7069,1917,22187,46055,69906
1999/4/27,22805,7127,1325,22834,51219,75024
1999/5/4,27656,7207,1189,20440,55423,78396
1999/5/11,29951,5875,1268,21043,60387,81621
1999/5/18,29560,5144,1105,20626,59090,79155
1999/5/25,18926,3719,1081,23774,49018,69010
1999/6/1,14416,10714,1256,28398,39788,69114
1999/6/8,15007,14558,1528,30107,36884,71812
1999/6/15,12822,15987,1872,31801,36345,71993
1999/6/22,13169,13795,1212,29428,38937,70839
1999/6/29,12010,8318,1993,30215,44439,69011
1999/7/6,20340,8458,1677,24661,51345,73755
1999/7/13,22854,7993,1445,25906,54030,76969
1999/7/20,23036,7489,1379,27089,55925,77903
1999/7/27,21021,6154,1359,27517,53842,74155
1999/8/3,18876,6859,1104,25269,50734,70577
1999/8/10,20040,7997,1213,24477,51399,72457
1999/8/17,21526,7718,1993,23576,50922,71744
1999/8/24,17542,6212,1925,23990,44531,66274
1999/8/31,17765,2593,2160,27193,53544,69482
1999/9/7,25178,3079,2286,27131,63154,78846
1999/9/14,27234,4270,3004,26174,64436,82506
1999/9/21,29983,4406,3437,24233,64242,83069
1999/9/28,24872,2987,2242,27338,63563,78359
1999/10/5,22744,1904,2404,29163,62692,77477
1999/10/12,16826,3865,1497,33410,54814,72542
1999/10/19,15329,2982,1400,32400,53810,69354
1999/10/26,15922,1635,1719,31989,56046,70550
1999/11/2,15368,2400,1552,31069,56187,69037
1999/11/9,15039,2453,1936,29915,53380,69255
1999/11/16,12368,4524,1124,32979,49041,67482
1999/11/23,11859,5120,1135,36084,50839,69384
1999/11/30,12447,2325,1193,34972,53895,68060
1999/12/7,11939,4246,1106,34589,50395,66056
1999/12/14,11135,4924,864,34400,49344,65756
1999/12/21,20272,2230,1929,35656,65574,74084
1999/12/28,21019,1432,1784,34928,66936,74642
2000/1/4,22558,1184,2278,32679,67212,75564
2000/1/11,23589,1261,2374,33005,68123,77456
2000/1/18,30633,3014,3927,31754,74061,86337
2000/1/25,28684,2616,3617,31943,71196,83678
2000/2/1,22806,1859,3354,34185,67098,77450
2000/2/8,18024,3099,2834,36630,63044,75047
2000/2/15,18000,2529,3120,35080,61988,72991
2000/2/22,16915,3154,3387,35308,60421,72525
2000/2/29,11987,6551,2441,41379,52534,68347
2000/3/7,12943,8389,2202,39588,48079,66752
2000/3/14,12289,10072,2307,39928,46972,67287
2000/3/21,12834,7826,2440,40197,50489,69324
2000/3/28,12027,8093,2247,41170,49695,68722
2000/4/4,13099,10549,2208,44251,50855,71752
2000/4/11,11846,14772,2482,47914,49603,77069
2000/4/18,11367,18245,3010,51162,50399,78910
2000/4/25,10890,14523,2839,47014,49728,72733
2000/5/2,9833,10155,1868,44299,50499,69211
2000/5/9,12487,4737,2313,39738,55837,69266
2000/5/16,14845,3776,2688,39137,58714,70496
2000/5/23,15134,4837,3785,39320,57134,70869
2000/5/30,13263,5234,3309,38611,53615,66299
2000/6/6,7711,4331,2982,41821,50396,63966
2000/6/13,6974,6474,2906,43129,48692,65462
2000/6/20,8638,3716,2576,39367,49397,61468
2000/6/27,7774,2997,2590,39306,50506,62156
2000/7/5,6627,3059,2570,43147,53094,65260
2000/7/11,8018,3470,2262,40975,51706,64754
2000/7/18,13606,3092,2115,38065,57252,69081
2000/7/25,21038,4993,3127,35748,62955,76965
2000/8/1,23977,6307,4675,36250,64500,82064
2000/8/8,24752,6947,4707,36721,64371,82125
2000/8/15,23983,6622,5039,34544,61581,78950
2000/8/22,21011,6457,4250,35280,57125,75325
2000/8/29,23948,5770,2309,37703,65382,79865
2000/9/5,28434,5795,2197,33669,65819,80980
2000/9/12,31743,6206,2872,32677,68062,84066
