index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,accu_return,max_draw
2015-06-15,2015-06-15,446.89,0.00291323260895,1579900.0,447.54,442.46,1.0,429.52,455.0,1.0,2,-0.0109746956115,0.0398382485762
2015-06-16,2015-06-16,440.35,-0.014742614067,2273500.0,444.24,431.85,1.0,429.52,455.0,1.0,2,-0.0257173096786,0.0545808626432
2015-06-17,2015-06-17,423.64,-0.038685827276,2994800.0,433.39,420.38,1.0,431.85,455.0,1.0,2,-0.0644031369546,0.0932666899192
2015-06-18,2015-06-18,422.2,-0.00340490256125,2195400.0,429.74,419.89,1.0,420.38,455.0,1.0,2,-0.0678080395158,0.0966715924805
2015-06-19,2015-06-19,428.47,0.0147415885041,1148700.0,430.05,424.51,1.0,419.89,451.85,1.0,2,-0.0530664510117,0.0819300039764
2015-06-23,2015-06-23,427.48,-0.0023132202616,765700.0,428.87,422.29,1.0,419.89,447.54,1.0,2,-0.0553796712733,0.084243224238
2015-06-24,2015-06-24,432.98,0.0127840339026,2170100.0,441.34,427.88,1.0,419.89,444.24,1.0,2,-0.0425956373708,0.0714591903354
2015-06-25,2015-06-25,436.02,0.00699657629732,1699800.0,441.63,431.96,1.0,419.89,441.34,1.0,2,-0.0355990610734,0.0644626140381
2015-06-26,2015-06-26,431.06,-0.0114408223049,1896900.0,434.44,425.94,1.0,419.89,441.63,1.0,2,-0.0470398833784,0.075903436343
2015-06-29,2015-06-29,431.94,0.0020393981576,1830600.0,432.3,424.16,1.0,422.29,441.63,1.0,2,-0.0450004852208,0.0738640381854
2015-06-30,2015-06-30,416.59,-0.0361841650111,2238200.0,423.92,410.42,1.0,422.29,441.63,1.0,2,-0.0811846502319,0.110048203197
2015-07-01,2015-07-01,410.48,-0.0147753180645,1783300.0,412.4,405.08,1.0,410.42,441.63,1.0,2,-0.0959599682963,0.124823521261
2015-07-02,2015-07-02,406.29,-0.0102600162983,2017100.0,411.96,401.98,1.0,405.08,441.63,1.0,2,-0.106219984595,0.135083537559
2015-09-22,2015-09-22,386.23,0.00194373595297,2887500.0,388.35,376.93,0.5,383.66,400.11,1.0,1,-0.104276248642,0.133139801606
2015-09-23,2015-09-23,371.26,-0.039530421155,3836700.0,379.65,367.74,1.0,376.93,395.93,1.0,2,-0.143806669797,0.172670222761
