kind,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
JRFI.WI,-0.0682851190476,-0.0129960069444,-0.124039545455,-0.118724126984,0.281138640351,-0.00155166666667,0.204711086957,0.0727510860485,-0.218466263617,0.150254901961,0.10908,-0.0519909090909
LFI.WI,0.156799679654,0.110440111111,-0.00958371604241,0.00439599685488,-0.126285291807,0.122098924956,0.0362789911538,-0.0663764586862,-0.157381437116,-0.108096602124,-0.0111908095238,0.130984315641
LRFI.WI,-0.0137372222222,0.167764074074,-0.0541389986825,-0.061369047619,-0.0949405263158,-0.0087125,-0.0347185463659,0.087873015873,-0.000126984126984,-0.00995777777778,0.186068809524,-0.0189399868248
MAFI.WI,0.230775714286,0.0832283895503,-0.0715351553841,0.168554019608,-0.242392497835,0.0406132745098,-0.105338959157,-0.122109894598,0.190104974937,0.0732424496187,-0.0992177164502,-0.13323629776
MFI.WI,-0.00769338671425,0.202814896136,0.050801281252,0.0130897852638,0.0497623239185,0.100907155554,-0.0266343835874,0.0625225905013,-0.0845864949495,0.00187460021786,-0.128584291486,0.0937002195244
NIFI.WI,-0.112979444444,0.163483680556,-0.253112318841,0.49769,-0.332328333333,-0.0219246428571,0.0593101449275,-0.234261180124,0.134515,0.111107720588,-0.0524504329004,-0.0903199604743
OIFI.WI,-0.0996281428571,0.0183363888889,-0.0286056226865,0.138768551587,-0.0405423538961,-0.20823017507,-0.216862784679,-0.0582766948993,-0.127938919799,0.176351740196,0.109096103896,-0.114740175042
PBFI.WI,0.155621269841,-0.0634818022487,-0.115840259292,0.0245237959277,-0.0815540692641,-0.0420057096172,0.131324182822,0.026680795533,-0.00682118212197,0.0340655501089,0.117652074315,-0.128772115566
PFI.WI,-0.0777801154401,0.202682248016,-0.0662468307297,0.0911254818965,-0.0378584968735,-0.0910239221122,-0.160974519522,-0.0765065332413,-0.144016564517,0.0676909844771,0.0821616428571,0.195472215791
PMFI.WI,-0.0363392328042,0.0204776719577,-0.205713429324,-0.0156253856209,0.0420306937799,0.0806680495356,-0.0965149294184,0.0403412045925,0.1350083467,0.0185764297386,0.0881416796537,0.0830157105214
PPFI.WI,0.000183888888889,0.2196815625,0.0654955651233,0.125288095238,-0.177288809524,0.322218174603,-0.115815113872,-0.191457280883,-0.168751031746,0.235290577342,-0.506780923521,-0.0149162055336
RBFI.WI,0.138211785714,0.0152078571429,-0.0149565269674,0.0455756378078,-0.282714301948,0.0525512227008,0.147998798937,-0.168249564747,-0.281515816815,0.148917478554,0.0791024350649,0.182585039055
RIFI.WI,-0.0717755756057,0.201616194444,-0.0847682025221,0.464972916667,-0.212260837321,0.0906032352941,0.0192599378882,-0.0702934857896,-0.0165118245614,-0.0160015196078,-0.00644582251082,-0.054990235272
RMFI.WI,0.0429693333333,0.0894808333333,-0.0558817014869,0.200706964286,0.122917873377,0.18372265056,-0.244470962733,-0.141021454451,-0.180328900376,0.161721629902,-0.0403746645022,-0.226010237154
RSFI.WI,-0.0101596031746,0.04218175,0.0250049402409,0.00104357142857,-0.00775252164502,-0.155078879552,-0.0346742236025,0.0289064346885,0.0393722556391,0.0361007352941,0.109687364719,-0.0102067588933
RUFI.WI,0.299846639493,0.127857930302,-0.0575513157585,-0.152204438535,0.136974896528,-0.0367678548689,0.0903637869377,-0.0242278743961,-0.000197792131845,0.0875378474946,-0.106139376623,0.249523609699
SFFI.WI,-0.0174207407407,0.191942824074,0.214936166008,-0.0695144047619,-0.228468809524,0.13396452381,0.217050207039,0.020253765528,0.180871904762,-0.449409395425,-0.00829727994228,-0.0739959156785
SMFI.WI,-0.0767572222222,-0.0122830555556,0.41446010833,0.0246810714286,-0.278584404762,-0.2732575,0.797956418219,-0.12223036804,0.184873412698,-0.200458592048,0.134466479076,-0.282631620553
SNFI.WI,0.184139722222,0.113379861111,0.0210667874396,0.116673055556,-0.0330251190476,-0.0996302380952,0.226210869565,-0.147222360248,0.0145875,0.0531575367647,-0.130418722944,0.319758794466
