update_date,close
2011/9/19,85.29
2011/9/20,87.14
2011/9/21,84.81
2011/9/22,80.53
2011/9/23,78.77
2011/9/26,80.36
2011/9/27,83.73
2011/9/28,82.68
2011/9/29,83.09
2011/9/30,79.02
2011/10/3,76.35
2011/10/4,75.59
2011/10/5,79.78
2011/10/6,79.41
2011/10/7,82.82
2011/10/10,85.79
2011/10/11,85.3
2011/10/12,84.91
2011/10/13,84.45
2011/10/14,87.3
2011/10/17,86.28
2011/10/18,88.48
2011/10/19,86.05
2011/10/20,86.47
2011/10/21,87.55
2011/10/24,91.7
2011/10/25,92.48
2011/10/26,91.03
2011/10/27,93.88
2011/10/28,93.91
2011/10/31,92.47
2011/11/1,91.79
2011/11/2,92.86
2011/11/3,94.08
2011/11/4,94.45
2011/11/7,95.78
2011/11/8,96.92
2011/11/9,95.94
2011/11/10,97.67
2011/11/11,99.12
2011/11/14,98.21
2011/11/15,99.38
2011/11/16,101.76
2011/11/17,98.78
2011/11/18,97.64
2011/11/21,97.05
2011/11/22,97.86
2011/11/23,95.86
2011/11/24,97.01
2011/11/25,97.13
2011/11/28,97.79
2011/11/29,99.45
2011/11/30,100.41
2011/12/1,100.09
2011/12/2,101.09
2011/12/5,100.61
2011/12/6,101.2
2011/12/7,100.61
2011/12/8,97.98
2011/12/9,99.82
2011/12/12,97.88
2011/12/13,100.26
2011/12/14,94.93
2011/12/15,93.37
2011/12/16,93.78
2011/12/19,93.84
2011/12/21,98.95
2011/12/22,99.43
2011/12/23,99.75
2011/12/28,99.49
2011/12/29,99.74
2011/12/30,98.88
2012/1/3,102.98
2012/1/4,103.24
2012/1/5,101.33
2012/1/6,101.89
2012/1/9,101.28
2012/1/10,102.21
2012/1/11,101.01
2012/1/12,99.27
2012/1/13,99.1
2012/1/16,99.59
2012/1/17,100.95
2012/1/18,101.16
2012/1/19,100.3
2012/1/20,98.45
2012/1/23,99.9
2012/1/24,99.1
2012/1/25,99.79
2012/1/26,99.9
2012/1/27,99.71
2012/1/30,98.91
2012/1/31,98.31
2012/2/1,97.36
2012/2/2,96.56
2012/2/3,97.81
2012/2/6,97.15
2012/2/7,98.79
2012/2/8,99.14
2012/2/9,99.78
2012/2/10,99.05
2012/2/13,100.73
2012/2/14,100.97
2012/2/15,101.91
2012/2/16,102.33
2012/2/17,103.25
2012/2/20,105.1
2012/2/21,105.89
2012/2/22,106.08
2012/2/23,108.68
2012/2/24,109.69
2012/2/27,107.76
2012/2/28,106.5
2012/2/29,106.87
2012/3/1,108.75
2012/3/2,106.55
2012/3/5,107.13
2012/3/6,104.91
2012/3/7,106.22
2012/3/8,106.85
