update_date,open,high,low,close,amt,volume,position_all
2014/1/28,851.71,851.71,851.71,851.71,6004.85,69800,1839644
2014/1/29,859.94,859.94,859.94,859.94,5180.13,60100,1764888
2014/1/30,862.52,862.52,862.52,862.52,3600.66,41600,1717436
2014/2/7,849.7,849.7,849.7,849.7,8377.36,97700,1799090
2014/2/10,848.53,848.53,848.53,848.53,9697.98,114000,1949976
2014/2/11,843.14,843.14,843.14,843.14,7108.14,83700,2060164
2014/2/12,847.6,847.6,847.6,847.6,6993.47,82500,2130888
2014/2/13,848.16,848.16,848.16,848.16,6551.9,76900,2137910
2014/2/14,855.86,855.86,855.86,855.86,8224.95,95800,2102820
2014/2/17,868.32,868.32,868.32,868.32,14962.68,172800,2250008
2014/2/18,856.34,856.34,856.34,856.34,10635.46,122800,2235896
2014/2/19,860.3,860.3,860.3,860.3,6377.63,74100,2323116
2014/2/20,848.67,848.67,848.67,848.67,6859.01,80200,2370110
2014/2/21,847.49,847.49,847.49,847.49,7834.83,92400,2434356
2014/2/24,820.45,820.45,820.45,820.45,20744.21,250600,2391318
2014/2/25,815.24,815.24,815.24,815.24,13762.03,168200,2331256
2014/2/26,817.2,817.2,817.2,817.2,14554.65,178500,2321546
2014/2/27,820.62,820.62,820.62,820.62,11600.71,141600,2261110
2014/2/28,811.87,811.87,811.87,811.87,14328.63,175300,2263826
2014/3/3,804.1,804.1,804.1,804.1,14402.07,178900,2289264
2014/3/4,805.25,805.25,805.25,805.25,15432.68,192300,2363676
2014/3/5,807.07,807.07,807.07,807.07,26658.36,332000,2336776
2014/3/6,792.99,792.99,792.99,792.99,22430.82,280000,2442960
2014/3/7,768.96,768.96,768.96,768.96,25227.35,323500,2583056
2014/3/10,738.4,738.4,738.4,738.4,20076.31,270900,2478946
2014/3/11,744.53,744.53,744.53,744.53,56377.14,766400,2196426
2014/3/12,741.39,741.39,741.39,741.39,74560.5,1022500,2259040
2014/3/13,752.04,752.04,752.04,752.04,58700.87,793900,2227638
2014/3/14,743.5,743.5,743.5,743.5,70204.34,951500,2229498
2014/3/17,733.24,733.24,733.24,733.24,56467.2,767100,2273620
2014/3/18,735.69,735.69,735.69,735.69,64660.32,883400,2233746
2014/3/19,735.75,735.75,735.75,735.75,35842.97,487800,2238172
2014/3/20,736.77,736.77,736.77,736.77,84757.66,1136700,2172752
