,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2015-10-12,2015-10-12 09:05:00,14596.75,14601.65,14484.82,14484.82,28334.0,2015-10-12 00:00:00,892200,0.5,-0.00578924323228
2015-11-27,2015-11-27 09:05:00,13280.19,13296.19,13219.96,13291.42,29520.0,2015-11-27 00:00:00,1917700,0.5,-0.0430019859125
2015-11-30,2015-11-30 09:05:00,12721.22,12865.32,12708.54,12845.47,44754.0,2015-11-30 00:00:00,1225700,1.0,0.00195309264353
2015-12-01,2015-12-01 09:05:00,12746.09,12765.6,12704.93,12718.1,19044.0,2015-12-01 00:00:00,1069500,1.0,0.00976692252012
2015-12-02,2015-12-02 09:05:00,12871.19,12898.55,12834.11,12851.24,22244.0,2015-12-02 00:00:00,1017000,1.0,-0.0213057776415
2015-12-03,2015-12-03 09:05:00,12599.86,12643.75,12585.29,12585.29,17822.0,2015-12-03 00:00:00,1029800,1.0,-0.00531176036455
2015-12-04,2015-12-04 09:05:00,12533.11,12567.13,12524.35,12548.26,23574.0,2015-12-04 00:00:00,949200,1.0,0.00608765837845
2015-12-07,2015-12-07 09:05:00,12609.64,12662.4,12584.96,12661.75,20078.0,2015-12-07 00:00:00,816800,1.0,-0.00200047061881
2015-12-08,2015-12-08 09:05:00,12584.44,12608.28,12578.24,12578.24,16606.0,2015-12-08 00:00:00,798800,1.0,0.000880064997334
2015-12-09,2015-12-09 09:05:00,12595.52,12605.17,12590.83,12590.83,8492.0,2015-12-09 00:00:00,744700,1.0,0.00420455133352
2015-12-10,2015-12-10 09:05:00,12648.59,12688.16,12646.98,12674.16,10762.0,2015-12-10 00:00:00,707500,1.0,-0.00336730252372
2015-12-11,2015-12-11 09:05:00,12606.07,12612.16,12599.57,12609.31,5744.0,2015-12-11 00:00:00,666700,1.0,0.0144789166977
2015-12-14,2015-12-14 09:05:00,12789.92,12813.2,12783.84,12794.26,12846.0,2015-12-14 00:00:00,795300,1.0,0.00609401987744
2015-12-15,2015-12-15 09:05:00,12868.1,12881.02,12848.94,12871.4,8778.0,2015-12-15 00:00:00,681800,1.0,-0.0159801616152
2015-12-16,2015-12-16 09:05:00,12664.1,12667.54,12648.75,12667.54,10760.0,2015-12-16 00:00:00,601400,0.5,0.0259365708781
2015-12-25,2015-12-25 09:05:00,13078.93,13104.01,13071.56,13072.79,14842.0,2015-12-25 00:00:00,546100,0.5,0.00625005369171
2015-12-28,2015-12-28 09:05:00,13160.93,13178.24,13122.33,13125.18,17534.0,2015-12-28 00:00:00,549300,1.0,-0.01612051117
2015-12-29,2015-12-29 09:05:00,12950.47,12950.47,12924.54,12935.58,12138.0,2015-12-29 00:00:00,500700,1.0,0.0326880153821
2015-12-30,2015-12-30 09:05:00,13380.79,13393.4,13355.41,13361.78,26476.0,2015-12-30 00:00:00,952700,1.0,0.00557453678205
2015-12-31,2015-12-31 09:05:00,13455.59,13468.0,13432.12,13461.54,16160.0,2015-12-31 00:00:00,655000,1.0,-0.00466170402402
2016-01-04,2016-01-04 09:05:00,13393.01,13435.82,13384.16,13423.31,25542.0,2016-01-04 00:00:00,385400,1.0,-0.0140018377869
2016-01-05,2016-01-05 09:05:00,13206.79,13216.7,13143.19,13144.49,15162.0,2016-01-05 00:00:00,435700,1.0,-0.00125847793836
2016-01-06,2016-01-06 09:05:00,13190.18,13194.53,13159.5,13161.51,8742.0,2016-01-06 00:00:00,527600,1.0,-0.00760187934548
2016-01-07,2016-01-07 09:05:00,13090.29,13099.63,13050.53,13084.8,15354.0,2016-01-07 00:00:00,619300,1.0,-0.0157766225932
2016-01-08,2016-01-08 09:05:00,12885.39,12915.85,12876.38,12897.4,15112.0,2016-01-08 00:00:00,748300,1.0,-0.00112283132988
2016-01-11,2016-01-11 09:05:00,12870.93,12885.05,12843.64,12852.96,21864.0,2016-01-11 00:00:00,530900,1.0,-0.0168280170286
2016-01-12,2016-01-12 09:05:00,12656.15,12689.86,12632.74,12645.4,18642.0,2016-01-12 00:00:00,698600,1.0,-0.0159111243905
2016-01-13,2016-01-13 09:05:00,12456.37,12469.52,12441.26,12442.25,11936.0,2016-01-13 00:00:00,585500,1.0,0.00486436970495
2016-01-14,2016-01-14 09:05:00,12517.11,12529.76,12496.19,12496.57,11794.0,2016-01-14 00:00:00,599100,1.0,0.0205259086129
2016-01-15,2016-01-15 09:05:00,12776.69,12785.22,12760.88,12770.05,7376.0,2016-01-15 00:00:00,714800,1.0,-0.0163802003734
2016-01-18,2016-01-18 09:05:00,12569.11,12597.23,12544.91,12597.23,12470.0,2016-01-18 00:00:00,613900,1.0,0.00981553430817
2016-01-19,2016-01-19 09:05:00,12693.09,12693.09,12659.62,12670.14,11112.0,2016-01-19 00:00:00,596800,1.0,0.00839288875738
2016-01-20,2016-01-20 09:05:00,12800.07,12800.07,12764.84,12771.68,12562.0,2016-01-20 00:00:00,492200,1.0,-0.00943415441872
2016-01-21,2016-01-21 09:05:00,12679.88,12693.43,12679.54,12683.33,11464.0,2016-01-21 00:00:00,496200,1.0,0.0122076333294
2016-01-22,2016-01-22 09:05:00,12835.62,12835.62,12795.72,12819.41,13598.0,2016-01-22 00:00:00,497400,1.0,-0.00318059079356
2016-01-25,2016-01-25 09:05:00,12794.86,12797.83,12762.6,12794.25,13008.0,2016-01-25 00:00:00,345600,1.0,-0.000972738381948
2016-01-26,2016-01-26 09:05:00,12782.42,12813.61,12771.36,12802.18,9396.0,2016-01-26 00:00:00,354500,1.0,0.0242910277812
2016-01-27,2016-01-27 09:05:00,13096.72,13115.5,13064.48,13075.13,15236.0,2016-01-27 00:00:00,623300,1.0,-0.00203922910178
2016-01-28,2016-01-28 09:05:00,13070.04,13081.46,13048.19,13059.7,10190.0,2016-01-28 00:00:00,489100,1.0,-0.00879986405273
2016-01-29,2016-01-29 09:05:00,12955.53,12977.35,12944.73,12946.48,8254.0,2016-01-29 00:00:00,393900,1.0,0.0233310655077
2016-02-02,2016-02-02 09:05:00,13261.35,13277.87,13259.66,13273.83,10758.0,2016-02-02 00:00:00,438900,1.0,0.00327935050229
2016-02-03,2016-02-03 09:05:00,13304.91,13307.67,13282.85,13300.52,8218.0,2016-02-03 00:00:00,471900,1.0,0.0213607516162
2016-02-04,2016-02-04 09:05:00,13592.17,13625.02,13573.53,13584.34,7916.0,2016-02-04 00:00:00,604600,1.0,0.0210314293901
