,DCE豆一,,,,,
,A.DCE,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-08-12,3730.0000,3751.0000,3718.0000,3749.0000,87606.0000,0.5903
2016-08-15,3760.0000,3810.0000,3706.0000,3802.0000,190556.0000,1.8211
2016-08-16,3809.0000,3824.0000,3792.0000,3820.0000,103218.0000,1.3531
2016-08-17,3820.0000,3904.0000,3790.0000,3887.0000,212716.0000,1.9942
2016-08-18,3892.0000,3915.0000,3860.0000,3875.0000,172886.0000,0.4927
2016-08-19,3869.0000,3882.0000,3797.0000,3826.0000,194022.0000,-1.5440
2016-08-22,3819.0000,3885.0000,3806.0000,3828.0000,172724.0000,-0.1825
2016-08-23,3811.0000,3854.0000,3786.0000,3788.0000,110664.0000,-1.4824
2016-08-24,3800.0000,3806.0000,3756.0000,3777.0000,161210.0000,-1.2549
2016-08-25,3770.0000,3799.0000,3738.0000,3786.0000,151826.0000,0.1322
2016-08-26,3771.0000,3787.0000,3725.0000,3744.0000,133044.0000,-0.7160
2016-08-29,3755.0000,3780.0000,3741.0000,3759.0000,102454.0000,0.0799
2016-08-30,3751.0000,3789.0000,3736.0000,3757.0000,108424.0000,-0.0798
2016-08-31,3751.0000,3768.0000,3665.0000,3676.0000,182338.0000,-2.3379
2016-09-01,3668.0000,3688.0000,3646.0000,3657.0000,131188.0000,-1.2689
2016-09-02,3661.0000,3689.0000,3621.0000,3626.0000,166654.0000,-1.0911
2016-09-05,3636.0000,3640.0000,3567.0000,3585.0000,211072.0000,-1.8615
2016-09-06,3585.0000,3605.0000,3576.0000,3596.0000,106576.0000,-0.2220
2016-09-07,3593.0000,3640.0000,3578.0000,3630.0000,156224.0000,1.0579
2016-09-08,3633.0000,3650.0000,3619.0000,3628.0000,132486.0000,0.2487
2016-09-09,3630.0000,3642.0000,3607.0000,3632.0000,121884.0000,0.0000
2016-09-12,3629.0000,3667.0000,3601.0000,3644.0000,210022.0000,0.5519
2016-09-13,3652.0000,3674.0000,3626.0000,3645.0000,136402.0000,0.1374
2016-09-14,3635.0000,3679.0000,3606.0000,3675.0000,170630.0000,0.6574
2016-09-19,3735.0000,3807.0000,3711.0000,3797.0000,191562.0000,4.1701
2016-09-20,3804.0000,3818.0000,3785.0000,3807.0000,169442.0000,1.3039
2016-09-21,3803.0000,3830.0000,3750.0000,3766.0000,197704.0000,-0.8947
2016-09-22,3768.0000,3797.0000,3746.0000,3772.0000,151998.0000,-0.3435
2016-09-23,3784.0000,3794.0000,3732.0000,3748.0000,131854.0000,-0.6099
2016-09-26,3740.0000,3773.0000,3724.0000,3752.0000,136002.0000,-0.2658
2016-09-27,3760.0000,3760.0000,3680.0000,3689.0000,159734.0000,-1.6267
2016-09-28,3690.0000,3698.0000,3660.0000,3665.0000,127544.0000,-1.2662
2016-09-29,3662.0000,3710.0000,3650.0000,3687.0000,117828.0000,0.2992
2016-09-30,3687.0000,3749.0000,3672.0000,3749.0000,160590.0000,1.5989
2016-10-10,3790.0000,3790.0000,3703.0000,3752.0000,102068.0000,0.9145
2016-10-11,3743.0000,3758.0000,3700.0000,3712.0000,161404.0000,-0.2687
2016-10-12,3703.0000,3728.0000,3624.0000,3633.0000,216388.0000,-2.4174
2016-10-13,3638.0000,3648.0000,3612.0000,3624.0000,193316.0000,-1.3609
2016-10-14,3627.0000,3673.0000,3625.0000,3660.0000,146228.0000,0.9098
2016-10-17,3660.0000,3706.0000,3643.0000,3681.0000,197892.0000,0.8217
2016-10-18,3689.0000,3702.0000,3659.0000,3675.0000,147364.0000,-0.1087
2016-10-19,3666.0000,3683.0000,3640.0000,3674.0000,205292.0000,-0.0544
2016-10-20,3670.0000,3743.0000,3669.0000,3742.0000,283028.0000,2.1288
2016-10-21,3740.0000,3779.0000,3695.0000,3761.0000,253220.0000,1.5663
2016-10-24,3761.0000,3816.0000,3741.0000,3805.0000,220844.0000,1.7108
2016-10-25,3812.0000,3850.0000,3751.0000,3762.0000,235956.0000,-0.4499
2016-10-26,3761.0000,3890.0000,3731.0000,3876.0000,369214.0000,2.2422
2016-10-27,3870.0000,3918.0000,3838.0000,3865.0000,352974.0000,1.1515
2016-10-28,3860.0000,3886.0000,3836.0000,3851.0000,188714.0000,-0.6706
2016-10-31,3848.0000,3866.0000,3812.0000,3823.0000,156268.0000,-0.9585
2016-11-01,3822.0000,3883.0000,3793.0000,3839.0000,240198.0000,0.1827
2016-11-02,3837.0000,3860.0000,3771.0000,3785.0000,209204.0000,-1.5861
2016-11-03,3798.0000,3820.0000,3753.0000,3768.0000,183790.0000,-1.1024
2016-11-04,3775.0000,3801.0000,3760.0000,3762.0000,149672.0000,-0.6339
2016-11-07,3765.0000,3855.0000,3752.0000,3832.0000,177398.0000,1.3221
2016-11-08,3838.0000,3860.0000,3807.0000,3844.0000,168238.0000,0.9454
2016-11-09,3844.0000,3875.0000,3788.0000,3810.0000,202122.0000,-0.5482
2016-11-10,3816.0000,3910.0000,3793.0000,3874.0000,301476.0000,1.0960
2016-11-11,3866.0000,3995.0000,3858.0000,3930.0000,377172.0000,2.0249
2016-11-14,3910.0000,3989.0000,3734.0000,3734.0000,313694.0000,-4.9873
2016-11-15,3731.0000,3771.0000,3656.0000,3662.0000,206336.0000,-4.4363
2016-11-16,3667.0000,3722.0000,3666.0000,3696.0000,167804.0000,-0.4042
2016-11-17,3695.0000,3737.0000,3686.0000,3714.0000,173920.0000,0.5142
2016-11-18,3719.0000,3729.0000,3686.0000,3716.0000,129216.0000,0.0539
2016-11-21,3722.0000,3794.0000,3705.0000,3771.0000,156892.0000,1.7539
2016-11-22,3770.0000,3829.0000,3770.0000,3815.0000,166600.0000,1.6520
2016-11-23,3812.0000,3885.0000,3793.0000,3842.0000,188176.0000,1.0255
2016-11-24,3847.0000,3890.0000,3800.0000,3816.0000,203268.0000,-0.7284
2016-11-25,3823.0000,3845.0000,3771.0000,3828.0000,155654.0000,-0.4939
2016-11-28,3844.0000,3924.0000,3816.0000,3895.0000,168250.0000,2.1773
2016-11-29,4019.0000,4138.0000,4003.0000,4089.0000,223632.0000,2.3017
2016-11-30,4068.0000,4100.0000,3967.0000,3997.0000,213344.0000,-2.2499
2016-12-01,4013.0000,4092.0000,4011.0000,4059.0000,175930.0000,0.4952
2016-12-02,4058.0000,4235.0000,4026.0000,4192.0000,528772.0000,3.4806
2016-12-05,4198.0000,4258.0000,4171.0000,4211.0000,368790.0000,1.4454
2016-12-06,4220.0000,4233.0000,4160.0000,4184.0000,213396.0000,-0.6883
2016-12-07,4223.0000,4294.0000,4176.0000,4251.0000,327114.0000,1.3833
2016-12-08,4243.0000,4263.0000,4166.0000,4190.0000,220032.0000,-1.1093
2016-12-09,4190.0000,4199.0000,4131.0000,4183.0000,181808.0000,-0.5705
