,SHFE铝,,,,
,AL.SHF,,,,
日期,开盘价,最高价,最低价,收盘价,成交量
Date,open,high,low,close,volume
2016-09-27,12440.0000,12555.0000,12370.0000,12495.0000,149292.0000
2016-09-28,12515.0000,12520.0000,12355.0000,12445.0000,115466.0000
2016-09-29,12270.0000,12455.0000,12260.0000,12350.0000,111738.0000
2016-09-30,12370.0000,12385.0000,12245.0000,12270.0000,54748.0000
2016-10-10,12305.0000,12605.0000,12290.0000,12580.0000,95090.0000
2016-10-11,12600.0000,12725.0000,12575.0000,12710.0000,130360.0000
2016-10-12,12685.0000,12710.0000,12540.0000,12665.0000,170886.0000
2016-10-13,12695.0000,12815.0000,12660.0000,12765.0000,164466.0000
2016-10-14,12765.0000,12960.0000,12725.0000,12865.0000,192156.0000
2016-10-17,12875.0000,12895.0000,12655.0000,12720.0000,188756.0000
2016-10-18,12660.0000,12790.0000,12625.0000,12785.0000,126208.0000
2016-10-19,12735.0000,12815.0000,12560.0000,12590.0000,189492.0000
2016-10-20,12560.0000,12670.0000,12555.0000,12575.0000,127564.0000
2016-10-21,12545.0000,12695.0000,12465.0000,12630.0000,143252.0000
2016-10-24,12625.0000,12945.0000,12580.0000,12930.0000,200718.0000
2016-10-25,12920.0000,13300.0000,12900.0000,13300.0000,196192.0000
2016-10-26,13390.0000,13995.0000,13350.0000,13620.0000,543864.0000
2016-10-27,13660.0000,13715.0000,13390.0000,13530.0000,309382.0000
2016-10-28,13585.0000,13960.0000,13540.0000,13860.0000,332560.0000
2016-10-31,13885.0000,14285.0000,13830.0000,14100.0000,359262.0000
2016-11-01,14145.0000,14255.0000,13970.0000,14115.0000,224166.0000
2016-11-02,14100.0000,14115.0000,13555.0000,13555.0000,192448.0000
2016-11-03,13230.0000,13475.0000,13180.0000,13410.0000,260894.0000
2016-11-04,13490.0000,13540.0000,13185.0000,13245.0000,287006.0000
2016-11-07,13285.0000,13580.0000,13215.0000,13340.0000,338492.0000
2016-11-08,13340.0000,13520.0000,13270.0000,13355.0000,302074.0000
2016-11-09,13345.0000,13695.0000,13300.0000,13490.0000,468358.0000
2016-11-10,13560.0000,14060.0000,13550.0000,14060.0000,536290.0000
2016-11-11,14165.0000,14255.0000,13925.0000,14105.0000,442056.0000
2016-11-14,14210.0000,14850.0000,13610.0000,14330.0000,793962.0000
2016-11-15,14280.0000,14445.0000,13725.0000,13800.0000,597190.0000
2016-11-16,13805.0000,13930.0000,13485.0000,13600.0000,431322.0000
2016-11-17,13565.0000,13615.0000,13275.0000,13430.0000,359502.0000
2016-11-18,13400.0000,13665.0000,13385.0000,13635.0000,360164.0000
2016-11-21,13655.0000,14140.0000,13480.0000,14090.0000,409674.0000
2016-11-22,14120.0000,14315.0000,14020.0000,14210.0000,374006.0000
2016-11-23,13925.0000,14070.0000,13810.0000,13860.0000,104710.0000
2016-11-24,13885.0000,14090.0000,13620.0000,13900.0000,234918.0000
2016-11-25,13900.0000,13945.0000,13715.0000,13825.0000,163316.0000
2016-11-28,13795.0000,14030.0000,13725.0000,13975.0000,187198.0000
2016-11-29,13925.0000,13980.0000,13380.0000,13420.0000,237194.0000
2016-11-30,13400.0000,13520.0000,12970.0000,13145.0000,225884.0000
2016-12-01,13200.0000,13480.0000,13180.0000,13355.0000,212596.0000
2016-12-02,13290.0000,13530.0000,13195.0000,13325.0000,244004.0000
2016-12-05,13290.0000,13415.0000,13165.0000,13185.0000,285818.0000
2016-12-06,13210.0000,13375.0000,13100.0000,13165.0000,295638.0000
2016-12-07,13150.0000,13175.0000,12920.0000,13120.0000,376068.0000
2016-12-08,13160.0000,13325.0000,12960.0000,13110.0000,364188.0000
2016-12-09,13140.0000,13395.0000,13015.0000,13320.0000,412274.0000
2016-12-12,13335.0000,13595.0000,13250.0000,13445.0000,356510.0000
2016-12-13,13400.0000,13450.0000,13280.0000,13300.0000,225086.0000
2016-12-14,13345.0000,13360.0000,13010.0000,13040.0000,320318.0000
2016-12-15,13095.0000,13100.0000,12820.0000,13005.0000,363828.0000
2016-12-16,12915.0000,13075.0000,12880.0000,12915.0000,232046.0000
2016-12-19,12865.0000,12920.0000,12620.0000,12630.0000,277128.0000
2016-12-20,12630.0000,12715.0000,12530.0000,12665.0000,243730.0000
2016-12-21,12705.0000,12890.0000,12670.0000,12880.0000,232076.0000
2016-12-22,12875.0000,12925.0000,12770.0000,12800.0000,212028.0000
2016-12-23,12800.0000,12930.0000,12635.0000,12700.0000,237702.0000
2016-12-26,12700.0000,12820.0000,12450.0000,12640.0000,249754.0000
2016-12-27,12630.0000,12815.0000,12565.0000,12790.0000,181280.0000
2016-12-28,12790.0000,12950.0000,12635.0000,12650.0000,223894.0000
2016-12-29,12580.0000,12740.0000,12550.0000,12720.0000,185226.0000
2016-12-30,12630.0000,12875.0000,12605.0000,12795.0000,214938.0000
2017-01-03,12875.0000,12875.0000,12610.0000,12630.0000,83942.0000
2017-01-04,12645.0000,12690.0000,12505.0000,12680.0000,128864.0000
2017-01-05,12665.0000,12735.0000,12555.0000,12595.0000,138436.0000
2017-01-06,12625.0000,12660.0000,12505.0000,12510.0000,125592.0000
2017-01-09,12555.0000,12710.0000,12535.0000,12580.0000,196060.0000
2017-01-10,12565.0000,12870.0000,12545.0000,12870.0000,299154.0000
2017-01-11,12925.0000,13050.0000,12855.0000,13040.0000,297438.0000
2017-01-12,13015.0000,13280.0000,12955.0000,13280.0000,296242.0000
2017-01-13,13390.0000,13545.0000,13210.0000,13395.0000,432108.0000
2017-01-16,13390.0000,13500.0000,13275.0000,13390.0000,293590.0000
2017-01-17,13410.0000,13525.0000,13215.0000,13320.0000,332966.0000
2017-01-18,13390.0000,13445.0000,13235.0000,13335.0000,222246.0000
2017-01-19,13355.0000,13465.0000,13270.0000,13355.0000,215184.0000
2017-01-20,13375.0000,13455.0000,13325.0000,13335.0000,230820.0000
2017-01-23,13435.0000,13890.0000,13380.0000,13690.0000,476428.0000
2017-01-24,13720.0000,13820.0000,13660.0000,13725.0000,224188.0000
2017-01-25,13825.0000,14140.0000,13820.0000,14050.0000,365258.0000
2017-01-26,13965.0000,14015.0000,13630.0000,13835.0000,280242.0000
2017-02-03,13880.0000,13880.0000,13640.0000,13760.0000,115482.0000
2017-02-06,13740.0000,13925.0000,13520.0000,13630.0000,220494.0000
2017-02-07,13625.0000,13735.0000,13525.0000,13600.0000,156072.0000
2017-02-08,13655.0000,13815.0000,13610.0000,13775.0000,116576.0000
2017-02-09,13750.0000,13925.0000,13750.0000,13810.0000,127990.0000
2017-02-10,13855.0000,13930.0000,13690.0000,13835.0000,149256.0000
2017-02-13,13870.0000,14140.0000,13850.0000,14035.0000,260788.0000
2017-02-14,14045.0000,14435.0000,14010.0000,14415.0000,426604.0000
2017-02-15,14390.0000,14500.0000,14205.0000,14345.0000,443094.0000
2017-02-16,14300.0000,14580.0000,14220.0000,14365.0000,407896.0000
2017-02-17,14275.0000,14415.0000,14030.0000,14065.0000,364188.0000
2017-02-20,14065.0000,14195.0000,13920.0000,14145.0000,323658.0000
2017-02-21,14130.0000,14375.0000,14130.0000,14225.0000,295984.0000
2017-02-22,14230.0000,14305.0000,13925.0000,13955.0000,342076.0000
2017-02-23,13980.0000,14100.0000,13805.0000,13840.0000,310220.0000
2017-02-24,13920.0000,13940.0000,13505.0000,13715.0000,350992.0000
2017-02-27,13780.0000,13910.0000,13710.0000,13755.0000,305876.0000
2017-02-28,13875.0000,14030.0000,13745.0000,13770.0000,297368.0000
2017-03-01,13800.0000,14250.0000,13780.0000,14180.0000,345876.0000
2017-03-02,14220.0000,14295.0000,14080.0000,14145.0000,248184.0000
2017-03-03,14130.0000,14180.0000,13850.0000,14165.0000,256302.0000
2017-03-06,14220.0000,14255.0000,13830.0000,13830.0000,201920.0000
2017-03-07,13805.0000,13920.0000,13765.0000,13850.0000,125948.0000
2017-03-08,13835.0000,13960.0000,13760.0000,13805.0000,197562.0000
2017-03-09,13870.0000,13890.0000,13655.0000,13675.0000,241154.0000
2017-03-10,,,,13675.0000,
