update_date,open,high,low,close,volume,position_all
2011-01-25,18700.00 ,18795.00 ,18060.00 ,18125.00 ,497992.00 ,267748.00 
2011-01-26,17895.00 ,18205.00 ,17885.00 ,18160.00 ,331930.00 ,252952.00 
2011-01-27,18260.00 ,18300.00 ,18080.00 ,18255.00 ,330798.00 ,244152.00 
2011-01-28,18195.00 ,18510.00 ,18130.00 ,18360.00 ,296670.00 ,226098.00 
2011-01-31,18550.00 ,18765.00 ,18510.00 ,18700.00 ,200346.00 ,215226.00 
2011-02-01,19120.00 ,19490.00 ,19025.00 ,19460.00 ,248938.00 ,179812.00 
2011-02-09,19640.00 ,19640.00 ,19235.00 ,19250.00 ,148062.00 ,155304.00 
2011-02-10,19200.00 ,19455.00 ,19155.00 ,19395.00 ,95430.00 ,131672.00 
2011-02-11,19600.00 ,19745.00 ,19300.00 ,19305.00 ,413358.00 ,194760.00 
2011-02-14,19510.00 ,19690.00 ,19380.00 ,19675.00 ,420760.00 ,220794.00 
2011-02-15,19750.00 ,19855.00 ,19570.00 ,19620.00 ,434114.00 ,223310.00 
2011-02-16,19385.00 ,20000.00 ,19360.00 ,19955.00 ,609312.00 ,297908.00 
2011-02-17,20020.00 ,20220.00 ,19730.00 ,19760.00 ,882926.00 ,292944.00 
2011-02-18,20025.00 ,20250.00 ,19890.00 ,19945.00 ,924526.00 ,315436.00 
2011-02-21,20100.00 ,20530.00 ,20010.00 ,20420.00 ,985380.00 ,396344.00 
2011-02-22,20420.00 ,20560.00 ,19150.00 ,19740.00 ,970682.00 ,337532.00 
2011-02-23,19200.00 ,19620.00 ,19200.00 ,19330.00 ,709812.00 ,322744.00 
2011-02-24,19500.00 ,19590.00 ,18945.00 ,19140.00 ,643648.00 ,315594.00 
2011-02-25,19270.00 ,19350.00 ,19055.00 ,19250.00 ,500738.00 ,302172.00 
2011-02-28,19330.00 ,19485.00 ,19200.00 ,19450.00 ,478418.00 ,282458.00 
2011-03-01,19485.00 ,19515.00 ,19245.00 ,19315.00 ,345786.00 ,268824.00 
2011-03-02,19210.00 ,19290.00 ,19020.00 ,19235.00 ,385810.00 ,258760.00 
2011-03-03,19185.00 ,19445.00 ,19100.00 ,19120.00 ,372070.00 ,258898.00 
2011-03-04,19220.00 ,19330.00 ,19070.00 ,19270.00 ,374742.00 ,240916.00 
2011-03-07,19150.00 ,19195.00 ,18775.00 ,18860.00 ,407606.00 ,265510.00 
2011-03-08,18510.00 ,18590.00 ,17820.00 ,18080.00 ,520358.00 ,260408.00 
2011-03-09,18110.00 ,18375.00 ,18110.00 ,18315.00 ,305660.00 ,235158.00 
2011-03-10,17775.00 ,17820.00 ,17605.00 ,17735.00 ,321920.00 ,228708.00 
2011-03-11,17780.00 ,17985.00 ,17730.00 ,17745.00 ,277576.00 ,217002.00 
2011-03-14,17780.00 ,18145.00 ,17675.00 ,18045.00 ,460690.00 ,203350.00 
2011-03-15,18050.00 ,18205.00 ,17950.00 ,18035.00 ,255518.00 ,195836.00 
2011-03-16,18120.00 ,18180.00 ,17850.00 ,18175.00 ,158318.00 ,171008.00 
2011-03-17,18200.00 ,18230.00 ,17750.00 ,17790.00 ,788838.00 ,256016.00 
2011-03-18,18200.00 ,18350.00 ,18155.00 ,18310.00 ,572888.00 ,204026.00 
2011-03-21,18230.00 ,18285.00 ,17950.00 ,18005.00 ,559530.00 ,231016.00 
2011-03-22,17820.00 ,18220.00 ,17810.00 ,18180.00 ,532058.00 ,238092.00 
2011-03-23,18205.00 ,18735.00 ,18200.00 ,18600.00 ,536932.00 ,223862.00 
2011-03-24,18710.00 ,18805.00 ,18515.00 ,18580.00 ,388622.00 ,212670.00 
2011-03-25,18635.00 ,18705.00 ,18480.00 ,18605.00 ,327934.00 ,210270.00 
2011-03-28,18550.00 ,18680.00 ,18260.00 ,18315.00 ,452100.00 ,210842.00 
2011-03-29,18150.00 ,18415.00 ,18145.00 ,18280.00 ,310080.00 ,213372.00 
2011-03-30,18400.00 ,18430.00 ,18255.00 ,18375.00 ,275412.00 ,211010.00 
2011-03-31,18280.00 ,18300.00 ,18080.00 ,18240.00 ,272280.00 ,209452.00 
