category_buy,buy_sum,buy_chg,category_sell,sell_sum,update_date
期货公司  ,143845,1125,期货公司  ,133606,2016-12-08
非期货公司,900,0,非期货公司,11139,2016-12-08
期货公司  ,70742,-526,期货公司  ,66674,2016-12-08
非期货公司,300,0,非期货公司,4368,2016-12-08
期货公司  ,25656,-732,期货公司  ,22404,2016-12-08
非期货公司,0,0,非期货公司,3252,2016-12-08
期货公司  ,33616,-2794,期货公司  ,30596,2016-12-08
非期货公司,0,0,非期货公司,3020,2016-12-08
期货公司  ,342101,-9236,期货公司  ,317406,2016-12-08
非期货公司,4660,0,非期货公司,29355,2016-12-08
期货公司  ,9655,-1380,期货公司  ,11575,2016-12-09
非期货公司,1920,0,非期货公司,0,2016-12-09
期货公司  ,53264,-3943,期货公司  ,47128,2016-12-09
非期货公司,1440,-100,非期货公司,7576,2016-12-09
期货公司  ,137440,-6405,期货公司  ,127274,2016-12-09
非期货公司,800,-100,非期货公司,10966,2016-12-09
期货公司  ,71466,724,期货公司  ,67298,2016-12-09
非期货公司,200,-100,非期货公司,4368,2016-12-09
期货公司  ,24666,-990,期货公司  ,21414,2016-12-09
非期货公司,0,0,非期货公司,3252,2016-12-09
期货公司  ,29670,-3946,期货公司  ,26650,2016-12-09
非期货公司,0,0,非期货公司,3020,2016-12-09
期货公司  ,326161,-15940,期货公司  ,301339,2016-12-09
非期货公司,4360,-300,非期货公司,29182,2016-12-09
期货公司  ,7765,-1890,期货公司  ,9410,2016-12-12
非期货公司,1645,-275,非期货公司,0,2016-12-12
期货公司  ,50080,-3184,期货公司  ,43864,2016-12-12
非期货公司,1360,-80,非期货公司,7576,2016-12-12
期货公司  ,129872,-7568,期货公司  ,119506,2016-12-12
非期货公司,600,-200,非期货公司,10966,2016-12-12
期货公司  ,69107,-2359,期货公司  ,64187,2016-12-12
非期货公司,200,0,非期货公司,5120,2016-12-12
期货公司  ,25724,1058,期货公司  ,22424,2016-12-12
非期货公司,0,0,非期货公司,3300,2016-12-12
期货公司  ,29283,-387,期货公司  ,26213,2016-12-12
非期货公司,0,0,非期货公司,3070,2016-12-12
期货公司  ,311831,-14330,期货公司  ,285604,2016-12-12
非期货公司,3805,-555,非期货公司,30032,2016-12-12
期货公司  ,6160,-1605,期货公司  ,7660,2016-12-13
非期货公司,1500,-145,非期货公司,0,2016-12-13
期货公司  ,48375,-1705,期货公司  ,42529,2016-12-13
非期货公司,1500,140,非期货公司,7346,2016-12-13
期货公司  ,128751,-1121,期货公司  ,118385,2016-12-13
非期货公司,600,0,非期货公司,10966,2016-12-13
期货公司  ,71986,2879,期货公司  ,67066,2016-12-13
非期货公司,200,0,非期货公司,5120,2016-12-13
期货公司  ,26532,808,期货公司  ,23232,2016-12-13
非期货公司,0,0,非期货公司,3300,2016-12-13
期货公司  ,29421,138,期货公司  ,26351,2016-12-13
非期货公司,0,0,非期货公司,3070,2016-12-13
期货公司  ,311225,-606,期货公司  ,285223,2016-12-13
非期货公司,3800,-5,非期货公司,29802,2016-12-13
期货公司  ,4690,-1470,期货公司  ,6190,2016-12-14
非期货公司,1500,0,非期货公司,0,2016-12-14
期货公司  ,44711,-3664,期货公司  ,40309,2016-12-14
非期货公司,1500,0,非期货公司,5902,2016-12-14
期货公司  ,134932,6181,期货公司  ,124566,2016-12-14
非期货公司,600,0,非期货公司,10966,2016-12-14
