,CZCE白糖,,,,,
,SR.CZC,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-11-24,6799.0000,6958.0000,6791.0000,6923.0000,744688.0000,1.5847
2016-11-25,6932.0000,6986.0000,6851.0000,6952.0000,572982.0000,1.0759
2016-11-28,6947.0000,7207.0000,6936.0000,7207.0000,837196.0000,4.0121
2016-11-29,7268.0000,7314.0000,7212.0000,7270.0000,650280.0000,2.7417
2016-11-30,7262.0000,7262.0000,7115.0000,7180.0000,658348.0000,-1.2244
2016-12-01,7188.0000,7230.0000,7106.0000,7135.0000,355442.0000,-0.7373
2016-12-02,7120.0000,7166.0000,6981.0000,7057.0000,324134.0000,-1.2455
2016-12-05,7049.0000,7078.0000,6990.0000,7037.0000,195926.0000,-0.1561
2016-12-06,7023.0000,7068.0000,6996.0000,7005.0000,148700.0000,-0.3556
2016-12-07,7080.0000,7180.0000,7072.0000,7144.0000,622298.0000,0.8755
2016-12-08,7146.0000,7182.0000,7101.0000,7122.0000,565690.0000,-0.2381
2016-12-09,7110.0000,7110.0000,7056.0000,7079.0000,410346.0000,-0.9099
2016-12-12,7065.0000,7171.0000,7041.0000,7105.0000,515858.0000,0.4098
2016-12-13,7109.0000,7148.0000,7083.0000,7119.0000,361084.0000,0.0844
2016-12-14,7115.0000,7128.0000,6903.0000,6925.0000,762478.0000,-2.6567
2016-12-15,6935.0000,6940.0000,6868.0000,6893.0000,545050.0000,-1.3312
2016-12-16,6908.0000,6960.0000,6876.0000,6926.0000,419486.0000,0.2751
2016-12-19,6880.0000,6891.0000,6840.0000,6864.0000,423722.0000,-0.9095
2016-12-20,6865.0000,6887.0000,6732.0000,6748.0000,594152.0000,-1.7186
2016-12-21,6748.0000,6782.0000,6740.0000,6759.0000,306086.0000,-0.4859
2016-12-22,6746.0000,6799.0000,6708.0000,6766.0000,472710.0000,0.0888
2016-12-23,6776.0000,6794.0000,6738.0000,6767.0000,459552.0000,-0.0295
2016-12-26,6780.0000,6909.0000,6643.0000,6687.0000,574290.0000,-1.1530
2016-12-27,6690.0000,6765.0000,6673.0000,6741.0000,353910.0000,0.2528
2016-12-28,6740.0000,6777.0000,6710.0000,6727.0000,359438.0000,0.1787
2016-12-29,6737.0000,6833.0000,6719.0000,6787.0000,526982.0000,0.6973
2016-12-30,6810.0000,6848.0000,6791.0000,6826.0000,411420.0000,0.6043
2017-01-03,6848.0000,6848.0000,6727.0000,6739.0000,260194.0000,-1.2745
2017-01-04,6748.0000,6842.0000,6742.0000,6808.0000,437568.0000,0.5910
2017-01-05,6812.0000,6880.0000,6804.0000,6847.0000,467312.0000,0.6616
2017-01-06,6850.0000,6854.0000,6773.0000,6791.0000,384392.0000,-0.7599
2017-01-09,6780.0000,6868.0000,6773.0000,6836.0000,341562.0000,0.3671
2017-01-10,6826.0000,6832.0000,6787.0000,6811.0000,339302.0000,-0.1759
2017-01-11,6800.0000,6920.0000,6784.0000,6870.0000,590898.0000,0.9255
2017-01-12,6895.0000,6912.0000,6849.0000,6856.0000,355994.0000,-0.2038
2017-01-13,6868.0000,6890.0000,6792.0000,6818.0000,448928.0000,-0.8579
2017-01-16,6822.0000,6892.0000,6815.0000,6837.0000,366362.0000,-0.0585
2017-01-17,6839.0000,6855.0000,6780.0000,6827.0000,366164.0000,-0.3212
2017-01-18,6835.0000,6903.0000,6822.0000,6869.0000,366870.0000,0.6889
2017-01-19,6871.0000,7004.0000,6850.0000,6991.0000,713254.0000,1.9542
2017-01-20,7009.0000,7025.0000,6779.0000,6880.0000,635874.0000,-0.8788
2017-01-23,6883.0000,6942.0000,6869.0000,6917.0000,232382.0000,0.1013
2017-01-24,6927.0000,6988.0000,6908.0000,6954.0000,271098.0000,0.7534
2017-01-25,6971.0000,6978.0000,6921.0000,6956.0000,150678.0000,0.0863
2017-01-26,6965.0000,7020.0000,6930.0000,6933.0000,190906.0000,-0.2733
2017-02-03,6954.0000,6954.0000,6850.0000,6941.0000,202728.0000,-0.2730
2017-02-06,6933.0000,7010.0000,6918.0000,6963.0000,352710.0000,0.8546
2017-02-07,6970.0000,6988.0000,6945.0000,6972.0000,221846.0000,-0.0143
2017-02-08,6959.0000,6965.0000,6909.0000,6947.0000,326656.0000,-0.3157
2017-02-09,6950.0000,6965.0000,6884.0000,6896.0000,351568.0000,-0.5050
2017-02-10,6900.0000,6925.0000,6875.0000,6909.0000,285830.0000,-0.2022
2017-02-13,6907.0000,6988.0000,6892.0000,6952.0000,440616.0000,0.6952
2017-02-14,6950.0000,6971.0000,6890.0000,6915.0000,367974.0000,-0.4033
2017-02-15,6930.0000,6956.0000,6837.0000,6837.0000,657538.0000,-1.2565
2017-02-16,6850.0000,6884.0000,6818.0000,6837.0000,441122.0000,-0.8843
2017-02-17,6836.0000,6865.0000,6810.0000,6840.0000,367504.0000,-0.1460
2017-02-20,6835.0000,6870.0000,6814.0000,6837.0000,315734.0000,0.0000
2017-02-21,6835.0000,6906.0000,6816.0000,6843.0000,448452.0000,-0.0292
2017-02-22,6850.0000,6887.0000,6821.0000,6861.0000,331854.0000,0.1167
2017-02-23,6854.0000,6879.0000,6819.0000,6865.0000,426376.0000,0.1167
2017-02-24,6854.0000,6863.0000,6767.0000,6791.0000,688014.0000,-0.8324
2017-02-27,6795.0000,6799.0000,6749.0000,6783.0000,573504.0000,-0.1913
2017-02-28,6775.0000,6792.0000,6745.0000,6755.0000,425176.0000,-0.2216
2017-03-01,6765.0000,6843.0000,6765.0000,6836.0000,469148.0000,1.1392
2017-03-02,6828.0000,6855.0000,6817.0000,6834.0000,288610.0000,0.4557
2017-03-03,6828.0000,6918.0000,6803.0000,6916.0000,651410.0000,1.1999
2017-03-06,6905.0000,6910.0000,6867.0000,6885.0000,319942.0000,0.2329
2017-03-07,6889.0000,6896.0000,6795.0000,6806.0000,414166.0000,-1.1761
2017-03-08,6782.0000,6787.0000,6702.0000,6723.0000,508614.0000,-1.7536
2017-03-09,6737.0000,6789.0000,6707.0000,6771.0000,409208.0000,0.4301
2017-03-10,6779.0000,6784.0000,6688.0000,6758.0000,676892.0000,0.1482
2017-03-13,,,,6758.0000,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
