,update_date,open,high,low,close,volume,Date,volume,invest_signal
2016-06-02,2016-06-02 09:05:00,15422.84,15480.98,15422.84,15472.39,24734.0,2016-06-02,1001500,0.0
2016-06-03,2016-06-03 09:05:00,15522.06,15583.22,15518.79,15583.22,11008.0,2016-06-03,563800,1.0
2016-06-06,2016-06-06 09:05:00,15636.81,15660.1,15629.24,15659.09,8802.0,2016-06-06,624200,1.0
2016-06-07,2016-06-07 09:05:00,15786.33,15786.33,15745.78,15754.6,9012.0,2016-06-07,462800,1.0
2016-06-08,2016-06-08 09:05:00,15554.44,15579.38,15540.7,15540.7,8182.0,2016-06-08,507200,1.0
2016-06-13,2016-06-13 09:05:00,15770.07,15810.32,15743.32,15805.01,31272.0,2016-06-13,403800,1.0
2016-06-14,2016-06-14 09:05:00,15922.22,15928.5,15847.29,15865.88,14134.0,2016-06-14,447100,1.0
2016-06-15,2016-06-15 09:05:00,15651.94,15673.14,15622.84,15630.7,10040.0,2016-06-15,424500,1.0
2016-06-16,2016-06-16 09:05:00,15695.99,15698.68,15672.4,15695.94,9582.0,2016-06-16,397800,1.0
2016-06-17,2016-06-17 09:05:00,15497.14,15522.09,15490.14,15514.81,10534.0,2016-06-17,428100,1.0
2016-06-20,2016-06-20 09:05:00,15562.31,15601.03,15553.84,15601.03,11332.0,2016-06-20,373400,1.0
2016-06-21,2016-06-21 09:05:00,15757.57,15762.81,15739.31,15743.2,4354.0,2016-06-21,384900,1.0
2016-06-22,2016-06-22 09:05:00,15726.31,15737.35,15717.92,15723.87,7584.0,2016-06-22,392500,1.0
2016-06-23,2016-06-23 09:05:00,15765.79,15780.65,15753.34,15765.01,4320.0,2016-06-23,308000,1.0
2016-06-24,2016-06-24 09:05:00,15708.59,15722.24,15673.41,15685.0,13910.0,2016-06-24,472400,1.0
2016-06-27,2016-06-27 09:05:00,15615.57,15627.46,15599.87,15611.13,7794.0,2016-06-27,391900,1.0
2016-06-28,2016-06-28 09:05:00,15631.73,15632.05,15614.35,15616.2,4598.0,2016-06-28,547000,1.0
2016-06-29,2016-06-29 09:05:00,16278.54,16323.86,16278.54,16302.64,13892.0,2016-06-29,722500,1.0
2016-06-30,2016-06-30 09:05:00,16234.31,16266.26,16213.27,16261.8,10412.0,2016-06-30,545500,1.0
2016-07-01,2016-07-01 09:05:00,16412.7,16426.55,16376.46,16380.99,10820.0,2016-07-01,496800,1.0
2016-07-04,2016-07-04 09:05:00,16697.72,16729.39,16661.1,16661.1,24780.0,2016-07-04,739500,1.0
2016-07-05,2016-07-05 09:05:00,16508.56,16579.57,16507.82,16579.57,10596.0,2016-07-05,590100,1.0
2016-07-06,2016-07-06 10:05:00,16363.0,16373.74,16359.1,16370.08,395438.0,2016-07-06,683700,1.0
2016-07-07,2016-07-07 09:05:00,16533.54,16556.1,16498.99,16556.1,13540.0,2016-07-07,526500,1.0
2016-07-08,2016-07-08 09:05:00,16422.45,16427.82,16370.98,16370.98,9920.0,2016-07-08,539300,1.0
2016-07-11,2016-07-11 09:05:00,16626.19,16642.36,16605.88,16614.32,14350.0,2016-07-11,502300,1.0
2016-07-12,2016-07-12 09:05:00,16677.59,16698.88,16667.2,16698.88,8720.0,2016-07-12,383700,1.0
2016-07-13,2016-07-13 09:05:00,16986.1,17068.81,16973.96,17045.88,9976.0,2016-07-13,741500,0.0
2016-09-01,2016-09-01 09:05:00,18141.46,18173.97,18117.56,18164.39,28072.0,2016-09-01,717600,0.0
2016-09-02,2016-09-02 09:05:00,18349.85,18375.17,18347.69,18375.17,11184.0,2016-09-02,664800,1.0
2016-09-05,2016-09-05 09:05:00,18507.32,18507.32,18378.22,18382.79,21810.0,2016-09-05,641000,1.0
2016-09-06,2016-09-06 09:05:00,18424.15,18424.15,18369.91,18370.76,9968.0,2016-09-06,515600,1.0
2016-09-07,2016-09-07 09:05:00,18167.84,18191.53,18134.46,18136.31,11222.0,2016-09-07,472100,1.0
2016-09-08,2016-09-08 09:05:00,18095.26,18128.82,18082.77,18118.33,13448.0,2016-09-08,632200,1.0
2016-09-09,2016-09-09 09:05:00,18136.64,18147.09,18108.57,18108.57,8604.0,2016-09-09,509000,1.0
2016-09-12,2016-09-12 09:05:00,17990.0,17994.99,17850.42,17850.42,42298.0,2016-09-12,667000,1.0
2016-09-13,2016-09-13 09:05:00,17830.4,17838.57,17807.1,17816.12,12138.0,2016-09-13,454800,1.0
2016-09-14,2016-09-14 09:05:00,17585.46,17593.54,17544.06,17556.89,16748.0,2016-09-14,632200,1.0
2016-09-19,2016-09-19 09:05:00,17532.29,17550.46,17498.39,17525.43,22956.0,2016-09-19,336300,1.0
2016-09-20,2016-09-20 09:05:00,17864.11,17864.64,17819.57,17843.69,12868.0,2016-09-20,592400,0.0
