Date,PX_LAST,FUT_AGGTE_OPEN_INT
2016/5/27,211.4,211554
2016/5/26,210.25,210228
2016/5/25,210.15,210320
2016/5/24,206.65,210264
2016/5/23,205.5,211069
2016/5/20,205.55,210723
2016/5/19,206.1,208320
2016/5/18,207.85,208347
2016/5/17,208.9,203157
2016/5/16,208.9,202438
2016/5/13,207.4,200825
2016/5/12,207.45,202430
2016/5/11,210.35,191948
2016/5/10,209.25,184768
2016/5/9,210.65,178808
2016/5/6,215.4,177638
2016/5/5,215.4,176770
2016/5/4,218.65,177330
2016/5/3,221.9,176458
2016/5/2,226.65,176178
2016/4/29,228.35,177668
2016/4/28,223.15,174918
2016/4/27,222.45,172761
2016/4/26,224.65,172378
2016/4/25,225.6,174808
2016/4/22,226.85,177721
2016/4/21,225.6,182734
2016/4/20,224.55,193941
2016/4/19,223.15,201891
2016/4/18,217.3,205128
2016/4/15,216.2,205749
2016/4/14,217.95,206555
2016/4/13,216.8,205500
2016/4/12,214.7,201236
2016/4/11,209.05,200908
2016/4/8,208.7,201500
2016/4/7,207.65,205143
2016/4/6,214.35,193740
2016/4/5,213.8,192906
2016/4/4,214.05,193490
2016/4/1,216.3,192268
2016/3/31,218.3,187544
2016/3/30,219,190242
2016/3/29,221.4,186775
2016/3/28,224.6,182475
2016/3/24,222.9,180788
2016/3/23,223.55,181484
2016/3/22,228.95,178177
2016/3/21,229.25,177062
2016/3/18,228.25,176855
2016/3/17,229.25,177411
2016/3/16,223.4,174159
2016/3/15,223.35,175443
2016/3/14,223.95,175470
2016/3/11,224.1,173551
2016/3/10,222,171463
2016/3/9,223.25,167326
2016/3/8,222.2,165888
2016/3/7,228.35,167021
2016/3/4,227.45,166149
2016/3/3,220.85,164141
2016/3/2,218.1,164042
2016/3/1,214.55,160010
2016/2/29,213.25,161216
2016/2/26,212.5,161496
2016/2/25,207.3,166718
2016/2/24,210.1,168937
2016/2/23,210.9,173541
2016/2/22,211.9,179107
2016/2/19,208.05,180034
2016/2/18,207.65,183782
2016/2/17,207.9,188405
2016/2/16,205.65,191131
2016/2/12,203.15,197551
2016/2/11,200.65,197889
2016/2/10,202.7,192788
2016/2/9,203.95,189518
2016/2/8,209.05,189828
2016/2/5,210.3,193335
2016/2/4,213.15,195177
2016/2/3,209.5,200032
2016/2/2,205.5,201682
2016/2/1,205.55,200623
2016/1/29,206.7,200562
2016/1/28,205.15,198793
2016/1/27,206.4,201590
2016/1/26,203.75,202900
