YM;ZT;ZM;LW;X;SL;L;LD;J;ZL;J;TA;PVC;DY
1774.75 ;4790.05 ;15619.18 ;4199.72 ;17980.11 ;11763.70 ;15610.89 ;3820.62 ;250.94 ;6503.85 ;21461.87 ;7968.33 ;7132.37 ;7665.06 
1792.40 ;4922.49 ;16152.07 ;4263.10 ;18560.57 ;11790.99 ;15845.02 ;3905.26 ;255.42 ;6677.32 ;21839.90 ;8151.87 ;7256.87 ;7844.07 
1783.29 ;4821.02 ;16197.29 ;4215.62 ;18233.87 ;11560.02 ;15571.31 ;3842.28 ;255.06 ;6529.04 ;21568.29 ;8080.69 ;7168.81 ;7680.01 
1790.97 ;4865.22 ;16116.08 ;4258.42 ;18406.60 ;11729.48 ;15670.84 ;3904.01 ;259.32 ;6693.40 ;22095.03 ;8111.94 ;7217.52 ;7815.41 
1796.32 ;4870.46 ;15950.25 ;4245.14 ;18412.74 ;11559.85 ;15671.71 ;3967.35 ;261.93 ;6724.72 ;21991.92 ;8071.03 ;7199.21 ;7829.25 
1778.47 ;4809.83 ;15618.46 ;4114.59 ;17801.17 ;11096.61 ;15482.14 ;3897.16 ;257.04 ;6489.22 ;21263.11 ;7804.68 ;6953.94 ;7574.01 
1795.52 ;4982.67 ;15784.68 ;4190.70 ;18171.18 ;11160.90 ;15606.92 ;4053.34 ;258.26 ;6693.91 ;21683.79 ;7794.48 ;7063.83 ;7797.36 
1800.71 ;4964.59 ;15600.73 ;4192.23 ;18256.94 ;11408.86 ;15652.80 ;4019.52 ;259.34 ;6704.05 ;21796.06 ;7792.49 ;7113.88 ;7788.46 
1799.56 ;5025.56 ;15652.22 ;4219.82 ;18619.47 ;11551.43 ;15730.51 ;4013.48 ;267.49 ;6773.90 ;22046.26 ;8053.53 ;7211.32 ;7834.29 
1800.20 ;5152.78 ;15951.99 ;4229.21 ;18775.11 ;11633.57 ;15847.87 ;3991.79 ;267.54 ;6787.85 ;22369.54 ;8105.88 ;7277.51 ;7822.48 
1799.73 ;5145.72 ;15858.18 ;4231.76 ;18691.27 ;11601.45 ;15834.90 ;4019.64 ;265.79 ;6892.41 ;22659.39 ;8104.05 ;7322.77 ;7951.45 
1806.94 ;5314.13 ;16087.53 ;4236.78 ;18631.92 ;11389.49 ;16052.53 ;4082.52 ;254.87 ;7047.52 ;22270.47 ;8034.97 ;7309.58 ;8116.82 
1807.91 ;5324.97 ;16140.22 ;4201.22 ;18621.44 ;11460.61 ;16150.69 ;4118.10 ;255.88 ;7072.25 ;22267.85 ;8025.56 ;7610.47 ;8129.36 
